ID,Üniversite,Bölüm,En Küçük Puan
156,ANKARA UNIVERSITESI,Yapay Zeka ve Veri Muhendisligi,500.62803
157,ISTANBUL TEKNIK UNIVERSITESI,Molekuler Biyoloji ve Genetik,500.47543
158,CANKAYA UNIVERSITESI,Yazilim Muhendisligi,500.37781
159,ESKISEHIR TEKNIK UNIVERSITESI,Bilgisayar Muhendisligi,500.22614
160,KTO KARATAY UNIVERSITESI,Tip,500.17092
161,ISTANBUL UNIVERSITESI-CERRAHPASA,Bilgisayar Muhendisligi,500.05905
162,ISTANBUL UNIVERSITESI,Uluslararasi Girisimcilik,500.0
163,ISTANBUL UNIVERSITESI,Hukuk,500.0
164,ANADOLU UNIVERSITESI,Iktisat,500.0
165,ANKARA UNIVERSITESI,Hukuk,500.0
166,YASAR UNIVERSITESI,Bilgisayar Muhendisligi,499.93371
167,ORTA DOGU TEKNIK UNIVERSITESI,Istatistik,499.9152
168,BOGAZICI UNIVERSITESI,Uluslararasi Ticaret,499.91045
169,GAZI UNIVERSITESI,Elektrik-Elektronik Muhendisligi,499.78453
170,OZYEGIN UNIVERSITESI,Psikoloji,499.62535
171,MUGLA SITKI KOCMAN UNIVERSITESI,Tip,499.01179
172,IZMIR TINAZTEPE UNIVERSITESI,Tip,498.99169
173,BOGAZICI UNIVERSITESI,Siyaset Bilimi ve Uluslararasi Iliskiler,498.79631
174,BAHCESEHIR UNIVERSITESI,Dijital Oyun Tasarimi,498.75877
175,ANKARA MEDIPOL UNIVERSITESI,Bilgisayar Muhendisligi,498.57014
176,BOGAZICI UNIVERSITESI,Kimya,498.54301
177,ALTINBAS UNIVERSITESI,Tip,497.67675
178,ISTANBUL ATLAS UNIVERSITESI,Tip,497.62369
179,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Hukuk,497.14206
180,BOGAZICI UNIVERSITESI,Ingiliz Dili ve Edebiyati,497.0983
181,IZMIR EKONOMI UNIVERSITESI,Havacilik ve Uzay Muhendisligi,497.00688
182,GALATASARAY UNIVERSITESI,Isletme,496.92863
183,MARMARA UNIVERSITESI,Endustri Muhendisligi,496.81581
184,BOGAZICI UNIVERSITESI,Hukuk,496.68948
185,YALOVA UNIVERSITESI,Tip,496.56906
186,OZYEGIN UNIVERSITESI,Uluslararasi Finans,496.55027
187,ORTA DOGU TEKNIK UNIVERSITESI,Matematik,496.31802
